"titulo","empresa","ubicacion","salario","descripcion","url"
"Trabajo Desde Casa Desarrollador Next.js / Ref. 0697","BairesDev LLC","Puebla, Puebla","$ 3,700","En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.Desarrollador Next.js en BairesDevEstamos buscando un desarrollador de Next.js para trabajar en una agencia de comercio y experiencia del cliente global de servicio completo. Esta es una excelente oportunidad para ser uno de los miembros clave de nuestro equipo de Ingeniería y posicionarse para oportunidades únicas de crecimiento profesional.Principales responsabilidades:- Desarrollar software y aplicaciones web de calidad.- Analizar y mantener las aplicaciones de software existentes.- Diseñar código altamente escalable y comprobable.- Descubrir y corregir errores de programación.¿Qué Buscamos?:- 3+ años de experiencia en Next.js.- 3+ años de experiencia profesional en el desarrollo de aplicaciones web listas para producción- Propiedad de la obra de principio a fin.- Competencia en el desarrollo de aplicaciones web y comprensión de los marcos JavaScript y React.- Experiencia con sistemas de bases de datos relacionales (por ejemplo, PostgreSQL, MySQL).- Nivel de inglés avanzado.Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.- Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.- Hardware y software.- Horarios flexibles- Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.- Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.¡Únete a nuestro equipo global!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabajo-desde-casa-desarrollador-nextjs-ref-0697-en-puebla-0D1117E7CDC5A2C061373E686DCF3405#lc=ListOffers-Score4-0"
"Work From Home Next.js Developer / Ref. 0697","BairesDev LLC","Mérida, Yucatán","$ 3,700","At BairesDev®, weve been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley.Our diverse 4,000+ team, composed of the worlds Top 1% of tech talent, works remotely on roles that drive significant impact worldwide.When you apply for this position, youre taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.Next.js Developer at BairesDevWe are looking for a Next.js developer to work in a full-service global customer experience and commerce agency. This is an excellent opportunity to be one of the key members of our Engineering team and position yourself for unique career growth opportunities.What You Will Do:- Develop quality software and web applications.- Analyze and maintain existing software applications.- Design highly scalable, testable code.- Discover and fix programming bugs.Heres what we are looking for:- 3+ years of Next.js experience.- 3+ years of professional experience developing production ready web applications.- Ownership of work from beginning to end.- Proficiency developing web applications and understanding of JavaScript and React frameworks.- Experience with relational database systems (e.g. PostgreSQL, MySQL).- Advanced English level.How we do make your work (and your life) easier:- 100% remote work (from anywhere).- Excellent compensation in USD or your local currency if preferred- Hardware and software setup for you to work from home.- Flexible hours: create your own schedule.- Paid parental leaves, vacations, and national holidays.- Innovative and multicultural work environment: collaborate and learn from the global Top 1% of talent.- Supportive environment with mentorship, promotions, skill development, and diverse growth opportunities.Apply now and become part of a global team where your unique talents can truly thrive!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-work-from-home-nextjs-developer-ref-0697-en-merida-DFFE2BFA1A985ED961373E686DCF3405#lc=ListOffers-Score4-1"
"Specialty Chef – Indian Cuisine - Moon Palace","Palace Resorts","Benito Juárez, Quintana Roo","$ 13,095","Are you an expert in cooking, with a focus on Indian cuisine?Moon Palace Cancun is looking for its next Specialty Chef in Indian Cuisine!Join a hotel chain known for innovation, excellence, and world-class hospitality:What are we looking for?• Intermediate English• Culinary studies• Knowledge of Food and Beverage Hygiene Standards, General Kitchen Standards, Culinary Specialties, and Cost Control• Experience in preparing Indian specialty dishesWhat do we offer?• Lead in one of the most exclusive resorts in the Caribbean• Top-tier work environment• Real opportunities for professional growth• Ongoing training and access to cutting-edge technologies• Superior benefits and unique perksCancun, Mexico | Moon Palace CancunApply today and discover what it means to be part of the next level in hospitality!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-specialty-chef-indian-cuisine-moon-palace-en-benito-juarez-FF00836AD5746FB561373E686DCF3405#lc=ListOffers-Score3-2"
"Night Shift Technical Support Agent (Bilingual) - MXN 19K Salary","Importante empresa del sector","Miguel Hidalgo, Ciudad de México DF","$ 16,000.00","Night Owl Opportunity: Tier 1 Technical Support Agent (Overnight Shift)Are you ready to become part of a thriving corporate environment with an international scope? GlobalTech Corporation, a leader in providing technological solutions for the U.S. tax sector, is looking for dedicated professionals for our Tier 1 Technical Support team. This role focuses on delivering exceptional service and resolving technical incidents for our corporate clients.Your Role and Responsibilities:• Provide first-level technical support and resolve incidents remotely.• Accurately log all case details in our ticketing system.• Ensure timely follow-up on service requests and escalate complex problems when necessary.• Maintain a clear, professional, and solution-driven user experience for all clients.• Collaborate effectively with cross-functional technical and operational teams.Ideal Candidate Profile:• Education: High school diploma (minimum); a Bachelor's degree or technical certification is preferred.• Language: Advanced English (C1 level is essential).• Experience: Minimum of 6 months to 1 year of proven experience in technical support or customer service.• Technical Skills: Basic knowledge of ticketing platforms, remote support tools, and various digital applications.• Key Skills: Strong communication, organizational, and customer-centric abilities.• Work Schedule: Availability to work Monday to Friday, from 12:00 AM to 7:00 AM (Overnight Shift).Benefits & Compensation:• Comprehensive Monthly Salary: $19,000 MXN (night bonus already included).• Direct Hire: Immediate direct hiring by GlobalTech Corporation.• Training: Full initial technical training provided to ensure your success.• Stability & Growth: Enjoy job stability with clear opportunities for professional advancement.• Work Environment: A supportive and excellent work environment.• Payment: Punctual bi-weekly payments.Work Location:• Alcaldía Miguel Hidalgo, CDMX• Modality: On-site.• Availability: Immediate.Take the next step in your tech career. Apply for our Overnight Support role!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-night-shift-technical-support-agent-bilingual-mxn-19k-salary-en-miguel-hidalgo-97989574325DEC5661373E686DCF3405#lc=ListOffers-Score3-3"
"Marketing Specialist","ALTA INFRAESTRUCTURA Y CONSTRUCCION","Benito Juárez, Quintana Roo","No especificado","We’re Hiring a Marketing Specialist! | IA RemodelingOn-site | Full-Time | Growth-Focused EnvironmentAre you a results-driven marketer with a passion for paid ads, automation, and data? Want to join a fast-growing team in the remodeling & construction space where your creativity and tech skills drive real impact?At IA Remodeling, we don’t just build spaces—we build opportunity. And right now, we’re on the hunt for a Marketing Specialist who’s ready to take our lead generation engine to the next level — on-site with our energetic and collaborative team.What You’ll DoCreate, manage, and optimize advertising campaigns across Meta (Facebook & Instagram) and Google Ads platforms.Build and optimize landing pages for campaigns, focusing on conversion rates and user experience.Install and configure tracking pixels (Meta Pixel, Google Tags) to ensure accurate campaign tracking and reporting.Integrate email marketing systems (such as Mailchimp, Klaviyo, or similar) to automate customer journeys and nurture leads.Set up and manage CRM systems to organize leads, customer data, and sales pipelines (e.g., HubSpot, GoHighLevel, Salesforce).Monitor campaign performance, analyze metrics, and provide actionable insights to improve results.Collaborate with design, sales, and operations teams to align marketing initiatives with business goals.What We’re Looking ForMinimum 2+ years of experience in digital marketing, with a focus on paid ads, landing pages, CRM, and email marketing.Proven experience managing paid ads inside Meta and Google platforms.Experience building high-converting landing pages (WordPress, ClickFunnels, Webflow, or similar tools).Strong understanding of pixel installation, event tracking, and retargeting strategies.Experience with email marketing setup, automation, and performance tracking.Hands-on experience setting up and managing CRMs and marketing automation tools.Analytical mindset with strong attention to detail.Ability to work in a fast-paced environment and manage multiple projects simultaneously.Think you’re a great fit? Apply now and let’s build something amazing—together, in person.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-marketing-specialist-en-benito-juarez-C8537FED2F29733261373E686DCF3405#lc=ListOffers-Score3-4"
"Desarrollador Web y Movil - Con experiencia comprobable en el puesto","OPERADORA PEZ GATO","Los Cabos, Baja California Sur","$ 16,000.00","Experiencia en diseño, desarrollo, programación e implementación de pag web. Experiencia deseable en React, NextJS, vue o angular Experiencia con tecnologías Docker y herramientas como kubernetes o Amazon ECS. Mas de 2 años de experiencia como desarrollador Full Stack.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-web-y-movil-con-experiencia-comprobable-en-el-puesto-en-los-cabos-854DEE2B92943ECE61373E686DCF3405#lc=ListOffers-Score3-5"
"New Bilingual Technical Support Campaign","Telvista","Tijuana, Baja California","$ 16,000.00","We are excited to have you as part of are new campaign in TELvista!We are looking for talented who want to be part of our growing team of technical support.TELvista offers an excellent work environment, benefits by law and access to exclusive programs:You can choose your schedule!!!Base salary $4,000 pesos A WEEKAttendance & productivity BONUS.REQUIREMENTS:Advance Conversational EnglishPC skillsIf youre ready to take the next step in your career, we can have an Interview today and join one of the best companies to work for.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-new-bilingual-technical-support-campaign-en-tijuana-1AC9CD048BB25A1861373E686DCF3405#lc=ListOffers-Score3-6"
"Desarollador FullStack - Sr","AVASA","Mérida, Yucatán","$ 11,239","Buscamos sumarte a nuestro equipo de trabajo, para desarrollarte como:DESARROLLADOR FULLSTACKOfrecemos:-Atractivo sueldo acorde a aptitudes-Prestaciones de ley (inmediatas)-Beneficios internos-Oportunidades de desarrollo y crecimientoFunciones:-Diseño y desarrollo de aplicaciones web (Next.js)-Implementar y mantener APis y servicios backend en Node,js-Code reviews-Colaborar con el product ownerImportante-Experiencia mínima 5 años-Disponibilidad para trabajar presencialmente","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarollador-fullstack-sr-en-merida-42BA7ED74045742861373E686DCF3405#lc=ListOffers-Score3-7"
"Real Estate Expansion and Market Analyst","Pearl Talent","Puerto Rico","$5","DescriptionAbout Pearl TalentPearl works with the top 1% of candidates from around the world and connects them with the best startups in the US and EU. Our clients have raised over $5B in aggregate and are backed by companies like OpenAI, a16z, and Founders Fund. They’re looking for the sharpest, hungriest candidates who they can consistently promote and work with over many years. Candidates we’ve hired have been flown out to the US and EU to work with their clients, and even promoted to roles that match folks onshore in the US.Hear why we exist, what we believe in, and who we’re building for:Why Work with Us?We’re not just another recruiting firm—we focus on placing candidates with exceptional US and EU founders who prioritize the long-term success of their team members. We also provide retention bonuses at 3, 6, 9, and 12 months, as well as community-driven benefits like an annual retreat.About the CompanyWe are seeking a highly analytical and proactive Market Research Analyst, rapidly growing real estate development company based in Florida. This role is ideal forsomeone with strong research capabilities, data analysis skills, and the ability to identifyemerging market opportunities before the competition. You will work directly with seniorleadership to provide critical market intelligence that drives multi-million dollarinvestment decisions.RequirementsProven background in market research, data analysis, or real estate industryexperienceAdvanced Excel skills with ability to analyze large datasets and identify trendsExperience gathering information from government databases, public records, and industry sourcesPreferred: Background in real estate, urban planning, economic development, or related fieldsBonus: Familiarity with Florida markets, municipal planning processes, or GIS/mapping softwareDemonstrated ability to synthesize complex research into clear, actionable insightsExperience creating presentations and reports for executive decision-makingComfort with learning new software platforms and database management systemsKey Responsibilities:Monitor Department of Transportation infrastructure plans (road expansions, newinterchanges, highway upgrades)Monitor Department of Economic Development budgeting plans and targetingindustry growth sectors & expansions effortsTrack population migration trends, demographic shifts, and employment growth patternsIdentify new commercial developments, major retailer expansions, and industrial projectsCreate and maintain centralized market intelligence database with automated tracking systemsDevelop systematic processes for consistent market monitoring across multiple Florida marketsBuild relationships with targeted brokers to identify land opportunities – finding and keeping track of upcoming events for land acquisition team to attend (i.e builder events, broker events)Support creation of compelling market presentations for builder pitches and investor meetingsDevelop an on-going Google notification system to keep tabs of development, infrastructure, and employment hubs article coverage.Generate bi-weekly snapshots of findings, highlighting the analytics or development pipeline which makes the market a target.Not meant to be an overloaded report of data but more with interpretation & guidanceConduct a search on national home builder & broker meet-ups.Large conferences to small gatheringsBenefitsCompetitive Salary: Up to $1,500 per month, based on experience and skillsRemote Work: Fully remote—work from anywhereGenerous PTO: 10 days PTO per year, plus public US holidaysDirect Mentorship: Grow through guidance from international industry expertsLearning & Development: Ongoing access to resources for professional growthGlobal Networking: Work and connect with professionals around the worldWork-Life Balance: Balanced schedule that supports a healthy work-life balance.Our Recruitment Process:ApplicationScreeningTop-grading InterviewSkills AssessmentClient InterviewJob OfferClient OnboardingReady to Join Us?If this role aligns with your skills and career goals, we'd love to hear from you. Apply now to take the next step in your journey with Pearl.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-real-estate-expansion-and-market-analyst-en-puerto-rico-22259E07DDB14C5661373E686DCF3405#lc=ListOffers-Score3-8"
"Patient Care Scheduler","Pearl Talent","Chihuahua, Chihuahua","$ 26,600.00","DescriptionJob Position: Patient Care Scheduler (Provider Liaison)Work Arrangement: Fully Remote – Based in the Philippines or LATAMJob Type: Full-time, Independent ContractorWork Schedule: Monday–Friday, 9:00 AM to 6:00 PM Eastern TimeAbout Pearl Talent:Pearl works with the top 1% of candidates from around the world and connects them with the best startups in the US and EU. Our clients have raised over $5B in aggregate and are backed by companies like OpenAI, a16z, and Founders Fund. They’re looking for the sharpest, hungriest candidates who they can consistently promote and work with over many years. Candidates we’ve hired have been flown out to the US and EU to work with their clients, and even promoted to roles that match folks onshore in the US.Hear why we exist, what we believe in, and who we’re building for:Why Work with Us?We’re not just another recruiting firm—we focus on placing candidates with exceptional US and EU founders who prioritize the long-term success of their team members. We also provide retention bonuses at 3, 6, 9, and 12 months, as well as community-driven benefits like an annual retreat.About the CompanyOur client is a U.S.-based healthcare organization focused on increasing access to life-saving medications for patients with chronic conditions. They partner with leading hospitals, pharmacies, and healthcare providers across the U.S. to simplify the patient care process and ensure timely, affordable treatment.We’re looking for a Patient Care Scheduler to support our rapidly growing provider network. This is a mission-driven role ideal for someone who is organized, persistent, and passionate about creating better health outcomes.Role Overview:As a Provider Liaison & Scheduler, you’ll be responsible for coordinating with healthcare providers and pharmacies to secure signed Collaborative Practice Agreements (CPAs) and schedule clinical consultations between patients and pharmacists. You’ll handle high-volume outreach, document communications in our CRM system, and ensure patients move efficiently through the scheduling process.This role is ideal for someone with a healthcare coordination background, strong communication skills, and the ability to follow through across multi-step processes.Purpose of Your RoleTo ensure that every patient referred into our program can quickly access the clinical care they need—by securing CPA signatures from providers and efficiently scheduling consultations. You’ll streamline the path between physician, pharmacist, and patient, directly improving patient access and care timelines.Requirements1. Provider Outreach & CPA CoordinationReach out to physician offices via phone, email, and online fax to introduce and secure CPAsExplain the purpose and process of CPAs to medical staffPersistently follow up on unsigned agreements using standardized scripts and sequencesAccurately log all communication and document status in the CRM2. Patient Scheduling SupportOnce CPAs are secured, schedule patients for consultations with pharmacy partnersCoordinate schedules between patients and clinical teamsConfirm and document all appointments, reschedules, and follow-ups3. Data Management & ReportingMaintain clean, up-to-date CRM records for every provider and patient caseIdentify and escalate unresponsive or rejecting providers to U.S. teamSubmit weekly activity and performance reports to the operations team4. Workflow Optimization (Growth Opportunity)Proactively identify bottlenecks or inefficiencies in outreach and scheduling processesRecommend improvements or new SOPs to streamline operationsCollaborate with other schedulers (as the team grows) to share learnings and best practicesPreferred Experience1–2+ years in U.S. healthcare operations, patient coordination, or provider support rolesProven experience speaking with physicians, clinic staff, or healthcare providersFamiliar with CRMs (e.g., Telescope), online fax tools, Google Sheets, and remote collaboration tools like Slack and WhatsAppPast experience working with U.S.-based teams in a fully remote roleKey Skills & AttributesClear, confident communicator – able to explain complex workflows to medical professionalsPersistent and detail-oriented – follows up thoroughly and tracks progress accuratelyCritical thinker – makes suggestions to improve processes and flag issuesIndependent and proactive – thrives in a remote setting with minimal hand-holdingBilingual (Spanish a plus) – many patients prefer or benefit from Spanish-speaking supportBenefitsPotential for profit share based on performanceFully WFH, foreverAnnual team retreatUnlimited PTOPotential Growth OpportunitiesOur Recruitment Process:ApplicationScreeningSkills AssessmentTop-grading InterviewFinal InterviewJob OfferOnboardingReady to Join Us?If this role aligns with your skills and career goals, we’d love to hear from you. Apply now to take the next step in your journey with Pearl.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-patient-care-scheduler-en-chihuahua-8DCD27C2FD0C59D261373E686DCF3405#lc=ListOffers-Score3-9"
